iter	RMSE
0	7880.703485
1	7701.939327
2	7532.892878
3	7379.522919
4	7218.226829
5	7070.597571
6	6937.053068
7	6790.754592
8	6678.964144
9	6570.137812
10	6460.714902
11	6363.554052
12	6278.355548
13	6185.353319
14	6100.04358
15	6012.700455
16	5919.145097
17	5865.717103
18	5801.198544
19	5729.503223
20	5667.167898
21	5615.223087
22	5563.639177
23	5512.11801
24	5468.112734
25	5428.282729
26	5386.412071
27	5340.448918
28	5293.667412
29	5257.469273
30	5212.337749
31	5177.202165
32	5138.449816
33	5092.990699
34	5060.844703
35	5037.044195
36	5011.5354
37	4986.953956
38	4959.641285
39	4927.898849
40	4908.030516
41	4880.616658
42	4854.158919
43	4829.596107
44	4806.591597
45	4783.185803
46	4768.236203
47	4751.662915
48	4728.997605
49	4708.56258
50	4683.946421
51	4667.57508
52	4642.800927
53	4626.414491
54	4602.534651
55	4591.553409
56	4576.167237
57	4563.480312
58	4551.469509
59	4539.578409
60	4528.962284
61	4517.771325
62	4504.147189
63	4490.003423
64	4481.135884
65	4471.257968
66	4459.51653
67	4448.99957
68	4437.598274
69	4429.706027
70	4418.560213
71	4408.498815
72	4394.239749
73	4382.741553
74	4371.873242
75	4363.578139
76	4351.557241
77	4343.21665
78	4332.31151
79	4321.681585
80	4316.188545
81	4306.096064
82	4301.200045
83	4288.025627
84	4278.54124
85	4267.059592
86	4256.112465
87	4248.657433
88	4244.524042
89	4237.97026
90	4229.435416
91	4222.185804
92	4216.248281
93	4208.489775
94	4200.648212
95	4191.083336
96	4185.542527
97	4176.348141
98	4167.841572
99	4160.230939
100	4151.321576
101	4146.671564
102	4141.354561
103	4137.36716
104	4129.776971
105	4123.541897
106	4114.608854
107	4109.741136
108	4102.360432
109	4096.316744
110	4088.71962
111	4085.388205
112	4079.895928
113	4073.377332
114	4067.553842
115	4062.589544
116	4057.40416
117	4050.943373
118	4043.723144
119	4039.479096
120	4035.274772
121	4030.3434
122	4026.253295
123	4022.191365
124	4019.916662
125	4014.376239
126	4010.315977
127	4004.204819
128	3999.162185
129	3994.560382
130	3991.647025
131	3988.060246
132	3982.685668
133	3977.309818
134	3974.125904
135	3969.534734
136	3965.118788
137	3959.143765
138	3955.535912
139	3949.592261
140	3941.277362
141	3934.029677
142	3929.749747
143	3923.80468
144	3919.673989
145	3912.055451
146	3908.640347
147	3904.928037
148	3901.490465
149	3898.955897
150	3890.901561
151	3887.442554
152	3879.655119
153	3872.460405
154	3868.11517
155	3863.014447
156	3859.046601
157	3853.895759
158	3849.712165
159	3845.788832
160	3841.982788
161	3835.800708
162	3829.762036
163	3826.891318
164	3821.808373
165	3817.616488
166	3809.299796
167	3803.011879
168	3796.416064
169	3792.788487
170	3787.014226
171	3782.816362
172	3779.786834
173	3775.045011
174	3770.581468
175	3763.817678
176	3758.664712
177	3756.57998
178	3753.812859
179	3749.391327
180	3742.770389
181	3736.829072
182	3733.705915
183	3727.816508
184	3724.634615
185	3722.210414
186	3718.135138
187	3712.014925
188	3708.875287
189	3705.702418
190	3700.329707
191	3695.730507
192	3689.504588
193	3683.451809
194	3675.69219
195	3670.253267
196	3666.953125
197	3662.580738
198	3659.348711
199	3655.069276
200	3648.670713
201	3643.151808
202	3637.367553
203	3633.542587
204	3630.019268
205	3625.260078
206	3622.14143
207	3618.66077
208	3614.68874
209	3611.330558
210	3607.896677
211	3604.394354
212	3601.561574
213	3598.517842
214	3595.616147
215	3590.969902
216	3586.031138
217	3581.879294
218	3579.165472
219	3575.715108
220	3570.774737
221	3568.139339
222	3564.799027
223	3558.742923
224	3555.70306
225	3551.46416
226	3546.32257
227	3543.030446
228	3538.504241
229	3533.711012
230	3530.720893
231	3525.659907
232	3522.268527
233	3518.444451
234	3515.338174
235	3512.004962
236	3506.425657
237	3503.909897
238	3500.928901
239	3496.284206
240	3489.803294
241	3485.149339
242	3481.675429
243	3477.70212
244	3474.68748
245	3471.708937
246	3469.224174
247	3466.342264
248	3462.89661
249	3459.525209
250	3454.530187
251	3452.02833
252	3449.089604
253	3446.464191
254	3443.319388
255	3440.232117
256	3436.640366
257	3432.989271
258	3430.32737
259	3427.68419
260	3424.921266
261	3422.334455
262	3418.518946
263	3415.850257
264	3413.833771
265	3411.490329
266	3407.088953
267	3405.068619
268	3402.371434
269	3397.787751
270	3394.892634
271	3390.533462
272	3385.910981
273	3384.087347
274	3379.025876
275	3377.112703
276	3375.095538
277	3371.011075
278	3368.480756
279	3365.439724
280	3361.9089
281	3359.118126
